X,Y,MANUFACTUR,OWNER,CITY_FILE,SHEET_NUM,YEAR_BUILT,STATUS,SOURCE,COMMENT,PIPE_ID,ASSETID,LAST_UPDAT,STATION,TRUCK,SHIFT,INSPECTION,CONDITION,icon_url
-96.9958536580365,32.7725147641796,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7762",2019/12/05,,,,,,./0.png
-97.0004288891682,32.7694913846762,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7763",2024/04/09,,,,,,./0.png
-96.9979011569178,32.7694415387443,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7764",2019/12/05,,,,,,./0.png
-96.995437731914,32.7695947037447,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7765",2019/12/05,,,,,,./0.png
-96.9952530276545,32.7703728298633,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7766",2019/12/05,,,,,,./0.png
-97.0294415328988,32.6828211424906,MUELLER,PRIVATE,P-1583,C5.1,"2018",ACTIVE,AS BUILT,,,"7767",2019/12/05,,,,,,./0.png
-97.0234083572705,32.7038014891781,MUELLER,GRAND PRAIRIE,P-1602,U101,"2019",ACTIVE,AS BUILT,,,"7789",2020/03/10,,,,,,./0.png
-96.9953381258465,32.7732124638912,MUELLER,GRAND PRAIRIE,P-1622,22-25,"2019",ACTIVE,AS BUILT,,,"7768",2019/12/18,,,,,,./0.png
-96.9951020195459,32.7750684944977,MUELLER,GRAND PRAIRIE,P-1622,22-25,"2019",ACTIVE,AS BUILT,RELOCATED,,"7769",2023/02/01,,,,,,./0.png
-96.9958439637653,32.7750780075582,MUELLER,GRAND PRAIRIE,P-1622,22-25,"2019",ACTIVE,AS BUILT,,,"7770",2022/05/25,,,,,,./0.png
-96.9961369039119,32.7741085381729,MUELLER,GRAND PRAIRIE,P-1622,22-25,"2019",ACTIVE,AS BUILT,,,"7771",2019/12/18,,,,,,./0.png
-96.9960970502164,32.6603264749865,MUELLER,GRAND PRAIRIE,P-709B,"6","1998",ACTIVE,AS BUILT,,,"7772",2020/01/07,,,,,,./0.png
-97.0223325167559,32.6875746569353,MUELLER,GRAND PRAIRIE,P-1570,22-25,"207",ACTIVE,AS BUILT,,,"7773",2020/01/14,,,,,,./0.png
-97.0228205596722,32.6873964776501,MUELLER,GRAND PRAIRIE,P-1570,22-25,"207",ACTIVE,AS BUILT,,,"7774",2020/01/14,,,,,,./0.png
-97.0232963348362,32.6873959302281,MUELLER,GRAND PRAIRIE,P-1570,22-25,"207",ACTIVE,AS BUILT,,,"7775",2020/01/14,,,,,,./0.png
-97.0232148480958,32.68808794341,MUELLER,GRAND PRAIRIE,P-1570,22-25,"207",ACTIVE,AS BUILT,,,"7776",2020/01/14,,,,,,./0.png
-97.0234570842696,32.6868709969351,MUELLER,GRAND PRAIRIE,P-1570,22-25,"207",ACTIVE,AS BUILT,,,"7777",2024/02/01,,,,,,./0.png
-97.0231415462117,32.7090415260671,MUELLER,GRAND PRAIRIE,P-1617,PS-1,"2017",ACTIVE,AS BUILT,,,"7778",2020/01/23,,,,,,./0.png
-96.9866892134932,32.6775596505744,MUELLER,GRAND PRAIRIE,P-1206,15-16,"2017",ACTIVE,AS BUILT,,,"7779",2023/01/26,,,,,,./0.png
-96.987438178424,32.6784841663416,MUELLER,GRAND PRAIRIE,P-1206,15-16,"2017",ACTIVE,AS BUILT,,,"7783",2023/01/26,,,,,,./0.png
-96.9891677224575,32.6784741993437,MUELLER,GRAND PRAIRIE,P-1206,15-16,"2017",ACTIVE,AS BUILT,,,"7781",2020/02/06,,,,,,./0.png
-96.9892854099968,32.6772489684048,MUELLER,GRAND PRAIRIE,P-1206,15-16,"2017",ACTIVE,AS BUILT,,,"7785",2020/02/06,,,,,,./0.png
-96.9879756590742,32.6772242067242,MUELLER,GRAND PRAIRIE,P-1206,15-16,"2017",ACTIVE,AS BUILT,,,"7782",2020/02/06,,,,,,./0.png
-96.9833354279094,32.735015366792,MUELLER,GRAND PRAIRIE,W-779,C2.0-C2.2,"2018",ACTIVE,AS BUILT,,,"7780",2020/02/06,,,,,,./0.png
-96.9817026963531,32.7349958062959,MUELLER,GRAND PRAIRIE,W-779,C2.0-C2.2,"2018",ACTIVE,AS BUILT,,,"7784",2020/02/06,,,,,,./0.png
-96.9615052953423,32.7492910812602,MUELLER,GRAND PRAIRIE,W-776,C-2.1 C-2.3,"2014",ACTIVE,AS BUILT,,,"7786",2020/03/03,,,,,,./0.png
-96.9623726976754,32.7492960865527,MUELLER,GRAND PRAIRIE,W-776,C-2.1 C-2.3,"2014",ACTIVE,AS BUILT,,,"7787",2020/03/03,,,,,,./0.png
-96.9633315969881,32.7493007855647,MUELLER,GRAND PRAIRIE,W-776,C-2.1 C-2.3,"2014",ACTIVE,AS BUILT,,,"7788",2020/03/03,,,,,,./0.png
-97.0711029684183,32.6196340625822,MUELLER,GRAND PRAIRIE,P-1396,35-36,"2013",ACTIVE,AS BUILT,,,"7818",2020/05/07,,,,,,./0.png
-97.0714663489895,32.6174668627171,MUELLER,GRAND PRAIRIE,P-1396,38-39,"2013",ACTIVE,AS BUILT,,,"7577",2020/04/07,,,,,,./0.png
-97.0707101650133,32.6178338360171,MUELLER,GRAND PRAIRIE,P-1396,38-39,"2013",ACTIVE,AS BUILT,,,"7875",2020/12/09,,,,,,./0.png
-97.0713287341452,32.6187909056005,MUELLER,GRAND PRAIRIE,P-1396,38-39,"2013",ACTIVE,AS BUILT,,,"7790",2020/05/07,,,,,,./0.png
-97.0707721519792,32.6187537927798,MUELLER,GRAND PRAIRIE,P-1396,38-39,"2013",ACTIVE,AS BUILT,,,"7791",2020/05/07,,,,,,./0.png
-97.0149823507924,32.7212637189055,MUELLER,GRAND PRAIRIE,W-654,1-4,"2002",ACTIVE,AS BUILT,,,"7792",2020/05/07,,,,,,./0.png
-97.0727934945967,32.6069431506443,MUELLER,GRAND PRAIRIE,P-1580,C10.1,"2018",ACTIVE,AS BUILT,,,"7793",2020/05/07,,,,,,./0.png
